user_id,timestamp,channel,event_type,dwell_time,brand
e26e0360-bc3f-4b95,2026-03-01 01:01:46.339,YouTube,impression,26.71,Brand C
36bac1b6-901f-42e2,2026-03-01 01:34:03.151,Google Search,impression,13.0,Brand D
36bac1b6-901f-42e2,2026-03-01 01:35:17.278,Google Search,click,118.69,Brand D
af25dcda-af6c-401c,2026-03-01 01:54:36.242,E-commerce Marketplaces,impression,27.22,Brand B
3aae54ce-0b4e-4d4a,2026-03-01 02:33:33.207,E-commerce Marketplaces,impression,6.05,Brand J
1f2e2b86-1da2-4691,2026-03-01 02:57:53.996,Influencer Networks,impression,21.71,Brand E
9e6bf5d6-2b0d-4b48,2026-03-01 03:17:05.846,E-commerce Marketplaces,impression,15.34,Brand A
bb3e62ac-1caa-4beb,2026-03-01 03:26:52.719,E-commerce Marketplaces,impression,22.63,Brand C
bbb49520-e3ed-4624,2026-03-01 03:34:45.556,Google Search,impression,5.29,Brand H
5971f8dc-6f33-40a4,2026-03-01 03:47:53.045,YouTube,impression,21.54,Brand D
5d4ece1c-ca44-4507,2026-03-01 03:54:57.186,Instagram,impression,23.51,Brand H
58521c18-3139-4c09,2026-03-01 05:11:12.891,YouTube,impression,19.8,Brand F
61058104-37dc-4ce7,2026-03-01 05:26:13.052,Influencer Networks,impression,13.67,Brand J
93c439f9-19f0-48eb,2026-03-01 05:39:28.745,YouTube,impression,6.44,Brand G
ba76ea27-8fd9-4f18,2026-03-01 06:30:51.857,Google Search,impression,19.12,Brand E
778f708a-a8ce-40bf,2026-03-01 06:35:42.789,Influencer Networks,impression,19.91,Brand G
fdefa50c-20fb-482c,2026-03-01 06:47:03.685,YouTube,click,0.0,Brand H
fdefa50c-20fb-482c,2026-03-01 06:47:05.685,YouTube,click,0.0,Brand H
fdefa50c-20fb-482c,2026-03-01 06:47:07.685,YouTube,click,0.0,Brand H
fdefa50c-20fb-482c,2026-03-01 06:47:21.685,YouTube,click,0.0,Brand H
fdefa50c-20fb-482c,2026-03-01 06:47:27.685,YouTube,click,0.0,Brand H
fdefa50c-20fb-482c,2026-03-01 06:47:35.685,YouTube,click,0.0,Brand H
fdefa50c-20fb-482c,2026-03-01 06:47:43.685,YouTube,click,0.0,Brand H
2c36ee6d-d3a0-4cdc,2026-03-01 06:50:20.001,E-commerce Marketplaces,impression,22.87,Brand F
a8d0eb50-c8c6-4221,2026-03-01 07:18:01.586,Google Search,impression,10.71,Brand D
65e5bfa3-2fee-4a1f,2026-03-01 07:26:25.011,Influencer Networks,impression,22.69,Brand A
65e5bfa3-2fee-4a1f,2026-03-01 07:29:04.132,Influencer Networks,click,31.96,Brand A
1ed3aa6e-121b-4f5a,2026-03-01 07:33:38.079,E-commerce Marketplaces,impression,7.41,Brand C
a60ed02b-268e-45fd,2026-03-01 07:44:36.659,YouTube,impression,7.62,Brand G
b658a787-1301-4b4e,2026-03-01 07:45:51.852,Influencer Networks,impression,6.45,Brand A
c77e7213-cd15-4dc1,2026-03-01 07:52:13.941,YouTube,impression,19.63,Brand A
25aadafe-cf0b-4fa5,2026-03-01 07:57:01.282,Google Search,impression,15.62,Brand C
a7fbd28a-acb5-43be,2026-03-01 08:02:00.781,E-commerce Marketplaces,impression,3.02,Brand F
dc7d0dcd-1ad4-462c,2026-03-01 08:08:29.917,YouTube,impression,26.58,Brand I
243b0b31-7665-4e6d,2026-03-01 08:15:33.797,Google Search,impression,22.33,Brand J
c5c25b70-6354-44fc,2026-03-01 08:23:57.204,E-commerce Marketplaces,impression,9.4,Brand C
32aed0a5-32e6-4b0f,2026-03-01 08:25:43.669,Influencer Networks,impression,12.62,Brand H
20d99ced-0c70-48ab,2026-03-01 08:39:15.089,Influencer Networks,impression,23.64,Brand D
263fb4b3-b47b-4935,2026-03-01 09:02:41.561,Instagram,click,0.0,Brand B
263fb4b3-b47b-4935,2026-03-01 09:02:49.561,Instagram,click,0.0,Brand B
263fb4b3-b47b-4935,2026-03-01 09:02:50.561,Instagram,click,0.0,Brand B
263fb4b3-b47b-4935,2026-03-01 09:02:51.561,Instagram,click,0.0,Brand B
263fb4b3-b47b-4935,2026-03-01 09:03:01.561,Instagram,click,0.0,Brand B
263fb4b3-b47b-4935,2026-03-01 09:03:07.561,Instagram,click,0.0,Brand B
263fb4b3-b47b-4935,2026-03-01 09:03:08.561,Instagram,click,0.0,Brand B
263fb4b3-b47b-4935,2026-03-01 09:03:13.561,Instagram,click,0.0,Brand B
