user_id,timestamp,channel,event_type,dwell_time,brand
00016200-3f43-4d35,2026-04-23 06:13:07.403,YouTube,impression,28.96,Brand E
00020ce4-befd-45a2,2026-03-22 12:05:16.601,Google Search,impression,20.99,Brand A
00020ce4-befd-45a2,2026-03-23 10:29:08.859,Instagram,impression,9.89,Brand A
00020ce4-befd-45a2,2026-03-24 10:11:22.288,YouTube,impression,20.92,Brand A
00020ce4-befd-45a2,2026-03-25 11:36:41.665,Instagram,impression,14.03,Brand A
00020ce4-befd-45a2,2026-03-25 11:39:51.295,Instagram,click,28.3,Brand A
00020ce4-befd-45a2,2026-03-26 10:27:23.372,YouTube,impression,22.74,Brand A
000ac79f-1c2c-4d0c,2026-03-08 07:22:09.912,Google Search,impression,15.19,Brand B
000ac79f-1c2c-4d0c,2026-03-09 10:03:06.943,E-commerce Marketplaces,impression,16.49,Brand B
000ac79f-1c2c-4d0c,2026-03-10 09:56:39.230,E-commerce Marketplaces,impression,13.25,Brand B
000bccd2-68f3-4729,2026-03-04 08:57:33.040,Influencer Networks,impression,22.88,Brand A
000bccd2-68f3-4729,2026-03-05 08:40:09.839,Google Search,impression,18.74,Brand A
001375cb-3feb-45f2,2026-05-08 00:37:06.459,YouTube,impression,5.02,Brand G
001375cb-3feb-45f2,2026-05-09 01:35:44.851,E-commerce Marketplaces,impression,8.46,Brand G
001375cb-3feb-45f2,2026-05-09 01:45:20.271,E-commerce Marketplaces,click,44.82,Brand G
001375cb-3feb-45f2,2026-05-10 02:12:42.699,YouTube,impression,14.97,Brand G
001397a0-e570-4632,2026-05-04 13:57:02.081,Instagram,impression,22.48,Brand J
001397a0-e570-4632,2026-05-05 11:12:05.801,YouTube,impression,24.08,Brand J
001397a0-e570-4632,2026-05-06 12:15:40.445,Instagram,impression,16.75,Brand J
001397a0-e570-4632,2026-05-06 12:18:03.553,Instagram,click,67.84,Brand J
0015f6b6-8ced-4848,2026-03-22 18:23:07.997,YouTube,impression,2.62,Brand I
0015f6b6-8ced-4848,2026-03-22 20:23:43.631,YouTube,conversion,35.68,Brand I
001bf73a-1624-4cc6,2026-05-01 10:35:19.122,Google Search,impression,24.93,Brand B
001bf73a-1624-4cc6,2026-05-02 06:45:34.474,Instagram,impression,20.53,Brand B
001bf73a-1624-4cc6,2026-05-03 06:58:18.134,Instagram,impression,15.35,Brand B
001bf73a-1624-4cc6,2026-05-04 08:47:09.847,E-commerce Marketplaces,impression,14.51,Brand B
0021476f-e3c0-4436,2026-05-05 15:51:44.583,Google Search,impression,20.92,Brand H
0021476f-e3c0-4436,2026-05-06 13:28:35.970,E-commerce Marketplaces,impression,5.29,Brand H
0021476f-e3c0-4436,2026-05-06 21:33:16.563,E-commerce Marketplaces,conversion,191.85,Brand H
0023ccc1-e59c-401b,2026-03-27 19:34:05.535,Google Search,impression,2.25,Brand D
0023ccc1-e59c-401b,2026-03-28 18:19:45.383,YouTube,impression,25.1,Brand D
0023ccc1-e59c-401b,2026-03-29 20:31:11.221,Instagram,impression,9.22,Brand D
004630dc-f224-4baf,2026-05-03 19:01:54.438,Instagram,impression,11.26,Brand G
004630dc-f224-4baf,2026-05-03 19:11:11.503,Instagram,click,105.8,Brand G
00490a57-2391-48a2,2026-03-15 06:59:17.339,YouTube,impression,4.67,Brand C
00490a57-2391-48a2,2026-03-16 04:48:31.164,E-commerce Marketplaces,impression,20.7,Brand C
0050d305-a4f8-4fd5,2026-03-25 09:10:15.714,E-commerce Marketplaces,impression,4.14,Brand J
00524ecd-b78b-4229,2026-05-14 22:51:17.705,Google Search,impression,23.03,Brand H
00524ecd-b78b-4229,2026-05-15 23:22:13.204,E-commerce Marketplaces,impression,6.82,Brand H
00524ecd-b78b-4229,2026-05-16 06:13:45.612,E-commerce Marketplaces,conversion,210.86,Brand H
005f8e35-3d28-4d96,2026-04-07 03:55:13.305,Instagram,impression,27.54,Brand I
006705d3-621f-427a,2026-04-08 12:32:25.224,E-commerce Marketplaces,impression,19.98,Brand E
0067c203-feb9-42f6,2026-04-30 18:34:54.127,YouTube,impression,20.15,Brand C
0067c203-feb9-42f6,2026-05-01 17:23:37.734,E-commerce Marketplaces,impression,29.66,Brand C
0067c203-feb9-42f6,2026-05-02 20:24:36.524,E-commerce Marketplaces,impression,9.16,Brand C
0067c203-feb9-42f6,2026-05-03 08:01:22.961,E-commerce Marketplaces,conversion,297.93,Brand C
007892cf-34ba-4c05,2026-04-04 09:20:21.545,Google Search,impression,7.94,Brand G
007892cf-34ba-4c05,2026-04-05 11:33:31.304,Instagram,impression,6.9,Brand G
008e3425-cee9-4462,2026-04-22 06:53:49.684,YouTube,impression,7.94,Brand A
008e3425-cee9-4462,2026-04-23 08:04:47.617,Instagram,impression,8.02,Brand A
008e3425-cee9-4462,2026-04-23 08:08:31.262,Instagram,click,104.38,Brand A
008e3425-cee9-4462,2026-04-24 05:25:44.594,Instagram,impression,16.95,Brand A
008e3425-cee9-4462,2026-04-24 05:32:29.457,Instagram,click,76.8,Brand A
008e3425-cee9-4462,2026-04-25 06:55:10.546,Google Search,impression,23.45,Brand A
009171d5-9c5c-45fb,2026-03-07 07:50:02.858,YouTube,impression,10.66,Brand B
009171d5-9c5c-45fb,2026-03-08 06:38:39.905,E-commerce Marketplaces,impression,16.28,Brand B
009171d5-9c5c-45fb,2026-03-08 15:15:56.898,E-commerce Marketplaces,conversion,232.63,Brand B
009fc2a0-1876-4b27,2026-05-10 03:59:23.736,E-commerce Marketplaces,impression,8.23,Brand A
009fc2a0-1876-4b27,2026-05-11 05:02:15.769,Influencer Networks,impression,16.22,Brand A
009fc2a0-1876-4b27,2026-05-12 05:31:34.909,Influencer Networks,impression,4.88,Brand A
00a0c209-ffd3-4c34,2026-04-30 00:15:37.161,Google Search,impression,3.76,Brand D
00a1fa76-6a03-4636,2026-04-29 15:36:37.061,E-commerce Marketplaces,impression,24.74,Brand H
00a1fa76-6a03-4636,2026-04-29 17:19:00.777,E-commerce Marketplaces,conversion,74.34,Brand H
00a63c94-b92c-4d2d,2026-05-04 02:06:07.915,Google Search,impression,13.28,Brand C
00a63c94-b92c-4d2d,2026-05-05 01:08:29.556,E-commerce Marketplaces,impression,13.46,Brand C
00a63c94-b92c-4d2d,2026-05-05 01:09:39.508,E-commerce Marketplaces,click,21.67,Brand C
00a63c94-b92c-4d2d,2026-05-05 02:58:14.500,E-commerce Marketplaces,conversion,283.37,Brand C
00a76f68-3951-4fe3,2026-05-20 06:09:15.650,Google Search,impression,13.65,Brand I
00a76f68-3951-4fe3,2026-05-20 18:01:03.621,Google Search,conversion,150.47,Brand I
00ad2a36-ce04-4799,2026-04-15 11:47:35.340,YouTube,impression,5.18,Brand B
00ad2a36-ce04-4799,2026-04-16 14:46:15.777,E-commerce Marketplaces,impression,22.72,Brand B
00c1997a-df40-4571,2026-03-12 14:08:15.876,YouTube,impression,29.1,Brand C
00c1997a-df40-4571,2026-03-13 12:27:11.062,Instagram,impression,2.49,Brand C
00c1997a-df40-4571,2026-03-14 14:45:28.656,E-commerce Marketplaces,impression,4.45,Brand C
00c1997a-df40-4571,2026-03-15 11:33:57.034,YouTube,impression,8.13,Brand C
00c5a6dd-238f-4b48,2026-04-19 16:49:32.563,E-commerce Marketplaces,impression,6.13,Brand F
00c5a6dd-238f-4b48,2026-04-20 18:22:24.012,YouTube,impression,17.28,Brand F
00c5a6dd-238f-4b48,2026-04-21 16:02:38.103,Influencer Networks,impression,7.18,Brand F
00c5b131-e7fd-49c5,2026-03-31 12:01:04.232,E-commerce Marketplaces,impression,20.6,Brand G
00c5b131-e7fd-49c5,2026-03-31 21:32:15.162,E-commerce Marketplaces,conversion,41.98,Brand G
00c8ec8e-c551-4789,2026-04-03 14:52:07.361,E-commerce Marketplaces,impression,11.33,Brand C
00c8ec8e-c551-4789,2026-04-04 14:07:24.206,YouTube,impression,15.58,Brand C
00c8ec8e-c551-4789,2026-04-05 17:22:52.018,E-commerce Marketplaces,impression,19.14,Brand C
00c8ec8e-c551-4789,2026-04-05 22:49:46.552,E-commerce Marketplaces,conversion,34.0,Brand C
00c9167c-1180-4159,2026-04-19 15:31:20.941,Google Search,impression,27.98,Brand H
00c9167c-1180-4159,2026-04-19 15:35:43.324,Google Search,click,112.73,Brand H
00cc2347-f77d-4b19,2026-03-14 15:15:51.143,Google Search,impression,22.29,Brand A
00cc2347-f77d-4b19,2026-03-15 16:35:47.637,E-commerce Marketplaces,impression,22.74,Brand A
00cd431d-264b-4255,2026-03-26 12:58:44.206,E-commerce Marketplaces,impression,23.97,Brand D
00cd431d-264b-4255,2026-03-26 13:07:57.119,E-commerce Marketplaces,click,85.97,Brand D
00d0b4a0-5a63-4807,2026-04-07 02:30:39.895,Influencer Networks,impression,24.81,Brand C
00d0b4a0-5a63-4807,2026-04-08 00:54:02.183,E-commerce Marketplaces,impression,24.39,Brand C
00d0b4a0-5a63-4807,2026-04-08 00:56:09.534,E-commerce Marketplaces,click,114.0,Brand C
00df64c0-9f45-43b7,2026-04-20 01:13:26.782,YouTube,impression,29.35,Brand H
00df64c0-9f45-43b7,2026-04-21 01:12:05.207,E-commerce Marketplaces,impression,13.33,Brand H
00dfcadf-cf40-4493,2026-03-28 18:58:17.752,Instagram,impression,20.26,Brand C
00dfcadf-cf40-4493,2026-03-29 19:38:19.940,E-commerce Marketplaces,impression,12.5,Brand C
00e478ea-567b-4a3c,2026-05-12 17:45:18.710,Google Search,impression,24.14,Brand H
00e478ea-567b-4a3c,2026-05-12 22:45:00.499,Google Search,conversion,67.34,Brand H
00e55964-b225-4450,2026-04-08 11:25:49.150,E-commerce Marketplaces,impression,13.7,Brand E
00e55964-b225-4450,2026-04-09 10:34:04.857,E-commerce Marketplaces,impression,10.91,Brand E
00e55964-b225-4450,2026-04-10 08:09:58.995,Google Search,impression,10.57,Brand E
00e55964-b225-4450,2026-04-11 09:07:57.432,Influencer Networks,impression,27.34,Brand E
00e55964-b225-4450,2026-04-11 20:09:21.983,Influencer Networks,conversion,37.75,Brand E
00f262f9-716a-461d,2026-04-30 16:42:00.084,Influencer Networks,impression,13.28,Brand B
00f283f7-5293-430e,2026-05-25 03:19:07.753,YouTube,impression,25.29,Brand A
00f283f7-5293-430e,2026-05-26 03:50:15.219,YouTube,impression,13.39,Brand A
00f48338-f208-44a3,2026-05-16 18:13:35.454,E-commerce Marketplaces,impression,13.71,Brand H
00f48338-f208-44a3,2026-05-17 18:48:54.714,E-commerce Marketplaces,impression,26.39,Brand H
00f48338-f208-44a3,2026-05-18 06:47:14.318,E-commerce Marketplaces,conversion,30.67,Brand H
00f69223-a97e-4ce0,2026-03-07 21:09:47.006,Influencer Networks,impression,11.63,Brand D
00f69c95-d8b2-4c68,2026-03-16 07:25:50.602,E-commerce Marketplaces,impression,28.98,Brand B
00f69c95-d8b2-4c68,2026-03-16 07:30:48.672,E-commerce Marketplaces,click,16.69,Brand B
00f69c95-d8b2-4c68,2026-03-16 14:30:54.796,E-commerce Marketplaces,conversion,69.2,Brand B
01014326-298c-4225,2026-05-01 12:19:36.061,YouTube,impression,22.19,Brand I
01014326-298c-4225,2026-05-01 12:21:31.502,YouTube,click,117.19,Brand I
01014326-298c-4225,2026-05-02 12:08:15.581,Influencer Networks,impression,21.08,Brand I
01014326-298c-4225,2026-05-02 12:13:43.770,Influencer Networks,click,64.96,Brand I
01014326-298c-4225,2026-05-03 13:03:24.463,E-commerce Marketplaces,impression,10.1,Brand I
01014326-298c-4225,2026-05-03 13:08:41.127,E-commerce Marketplaces,click,8.43,Brand I
01014326-298c-4225,2026-05-04 10:18:04.039,E-commerce Marketplaces,impression,8.8,Brand I
01014326-298c-4225,2026-05-04 10:21:19.378,E-commerce Marketplaces,click,41.79,Brand I
010a0376-5ec5-404f,2026-05-16 15:48:20.973,Google Search,impression,4.79,Brand C
010a0376-5ec5-404f,2026-05-16 15:50:46.998,Google Search,click,41.89,Brand C
010a0376-5ec5-404f,2026-05-17 16:59:53.680,YouTube,impression,26.62,Brand C
0113903a-7f3d-4135,2026-04-20 15:44:58.429,Influencer Networks,impression,17.19,Brand E
0113903a-7f3d-4135,2026-04-21 18:19:59.574,YouTube,impression,27.26,Brand E
0113903a-7f3d-4135,2026-04-21 18:25:42.361,YouTube,click,51.94,Brand E
0113903a-7f3d-4135,2026-04-22 16:19:08.247,Google Search,impression,25.06,Brand E
0113903a-7f3d-4135,2026-04-23 01:57:10.257,Google Search,conversion,35.92,Brand E
012d7224-bc34-487b,2026-03-24 00:21:51.809,YouTube,impression,9.72,Brand C
012d7224-bc34-487b,2026-03-24 00:27:59.690,YouTube,click,49.56,Brand C
012d7224-bc34-487b,2026-03-24 23:43:04.350,E-commerce Marketplaces,impression,3.21,Brand C
012d7224-bc34-487b,2026-03-25 23:33:49.272,Google Search,impression,7.01,Brand C
012dd8a9-d6c4-44a8,2026-05-22 21:38:09.394,YouTube,impression,6.85,Brand B
012dd8a9-d6c4-44a8,2026-05-22 21:41:41.255,YouTube,click,28.47,Brand B
012dd8a9-d6c4-44a8,2026-05-22 23:33:42.543,YouTube,conversion,79.27,Brand B
01450b83-fde6-4081,2026-04-08 05:08:03.095,Google Search,impression,27.28,Brand J
01459d55-71a2-4825,2026-05-07 11:33:01.638,E-commerce Marketplaces,impression,27.77,Brand C
01479be7-7f8c-4cc9,2026-05-04 01:12:15.012,YouTube,impression,12.36,Brand F
01479be7-7f8c-4cc9,2026-05-04 23:20:13.395,Influencer Networks,impression,15.71,Brand F
0150637e-0782-4c34,2026-03-08 09:14:31.140,Influencer Networks,impression,26.14,Brand D
0150637e-0782-4c34,2026-03-08 09:21:25.437,Influencer Networks,click,85.74,Brand D
0150637e-0782-4c34,2026-03-09 07:58:18.077,YouTube,impression,10.9,Brand D
0150637e-0782-4c34,2026-03-10 07:48:00.220,Google Search,impression,26.01,Brand D
0150637e-0782-4c34,2026-03-10 07:53:45.540,Google Search,click,60.9,Brand D
