user_id,persona
ec1159a3-cce3-4257,Bot-Simulated
5ec7f827-317b-4f0a,Bot-Simulated
ee21d303-1fd1-4146,Bot-Simulated
262bdabb-a4b9-4aef,Bot-Simulated
4debbf68-0e68-47d0,Bot-Simulated
83540f51-8304-46b2,Bot-Simulated
282baa52-3145-445e,Bot-Simulated
562303ea-9ad4-42d8,Bot-Simulated
770e8864-fba8-4382,Bot-Simulated
8aabd132-49ae-4fdf,Bot-Simulated
ebd16aa9-27db-466e,Bot-Simulated
dcffe037-e6d0-4cad,Bot-Simulated
d8da3667-dab6-4be7,Bot-Simulated
c69d8a1c-54c7-4d6c,Bot-Simulated
a8952460-5dfb-494c,Bot-Simulated
61f76ffc-b61b-420b,Bot-Simulated
c07ab9c0-7ad2-4341,Bot-Simulated
119b5ec1-28a3-4c34,Bot-Simulated
75e2c5b5-c508-488d,Bot-Simulated
cb7c78b3-8465-4a30,Bot-Simulated
95fce5db-cccf-4cd1,Bot-Simulated
0a1920d2-a218-40e8,Bot-Simulated
8b794ad7-e353-4bb0,Bot-Simulated
4ef7b716-0a67-4c6f,Bot-Simulated
56d2db62-e614-43ca,Bot-Simulated
8fe95754-568c-483b,Bot-Simulated
55badd65-95f4-42a1,Bot-Simulated
ab767ed6-4826-46d3,Bot-Simulated
c19500a3-320c-4eae,Bot-Simulated
7314dedb-8135-4054,Bot-Simulated
c7be7e4a-6a91-4752,Bot-Simulated
13ae6295-4fbf-4028,Bot-Simulated
f44fcb86-7ab2-469b,Bot-Simulated
a78fb4c7-0875-4e5a,Bot-Simulated
3cdb1fce-7eb8-4afd,Bot-Simulated
59fb999c-1e4b-44fd,Bot-Simulated
13c0f24e-4bc3-4583,Bot-Simulated
13ba4b4a-de22-4b42,Bot-Simulated
567612c0-42a6-466e,Bot-Simulated
f221b9e0-473b-479f,Bot-Simulated
16d6b17a-2722-4a8a,Bot-Simulated
3d800af1-171b-451c,Bot-Simulated
9c37431e-6d29-49bf,Bot-Simulated
e4aed930-d0d5-462c,Bot-Simulated
d257c547-59eb-400f,Bot-Simulated
1d4929e4-ca68-43d8,Bot-Simulated
e39335f5-7cbf-42ce,Bot-Simulated
476b58de-91a5-407b,Bot-Simulated
34fb7480-e013-4f8e,Bot-Simulated
4c9a89aa-f276-4a36,Bot-Simulated
e27c095c-dc24-4fc7,Bot-Simulated
6fefcb7f-b866-4a5f,Bot-Simulated
4b815ab6-b190-4123,Bot-Simulated
97231f70-75ac-4471,Bot-Simulated
afec2ff4-c619-40fd,Bot-Simulated
ff6d4876-76e3-4546,Bot-Simulated
39eb09ff-0b87-4be8,Bot-Simulated
67165f52-78ae-4fa8,Bot-Simulated
41e0ba5d-33b4-47a1,Bot-Simulated
33ca2d66-539f-42d1,Bot-Simulated
fb740be7-fa0f-4c66,Bot-Simulated
bd192272-7aa7-4875,Bot-Simulated
ca63e86f-e7b2-413f,Bot-Simulated
60aa53a6-0d94-4892,Bot-Simulated
