Channel,Uploaded Count,Uploaded Duration (hh:mm:ss),Cost Savings ($),Estimated ROI (%),Human Hours Saved
A,1470,227:24:21,212625,60.08,5906.2
B,1293,297:15:05,191295,17.87,5313.8
C,765,158:25:12,118395,21.27,3288.8
D,221,23:31:11,31545,0.0,876.2
E,201,25:34:42,36315,24.72,1008.8
F,130,17:35:35,14400,0.0,400.0
G,106,17:42:41,15795,11.33,438.8
H,89,10:17:01,14805,12.08,411.2
I,59,10:56:20,11790,0.0,327.5
J,37,5:39:49,6525,0.0,181.2
K,29,2:42:05,3735,0.0,103.8
L,17,8:05:43,9720,0.0,270.0
M,8,0:35:20,630,0.0,17.5
N,8,0:27:48,945,0.0,26.2
O,7,0:17:58,810,0.0,22.5
P,5,0:35:56,630,0.0,17.5
Q,5,0:22:05,855,0.0,23.8
R,3,0:11:14,315,0.0,8.8
