Input Type,Uploaded Count,Uploaded Duration (hh:mm:ss),Cost Savings ($),Estimated ROI (%),Human Hours Saved
interview,1299,243:53:35,223740,28.15,6215.0
news bulletin,1026,171:45:39,145710,48.15,4047.5
special reports,755,133:00:44,95805,28.16,2661.2
speech,742,132:41:32,107550,20.07,2987.5
debate,290,63:41:34,48330,18.59,1342.5
press conference,280,51:06:27,43785,8.21,1216.2
discussion-show,19,04:36:46,3555,148.15,98.8
sports show,17,02:54:17,855,0.0,23.8
Unknown,12,02:10:17,540,0.0,15.0
podcast,8,00:27:48,945,0.0,26.2
drama,4,01:17:02,180,0.0,5.0
in-brief,1,00:04:25,135,0.0,3.8
