Channel,Uploaded Count,Uploaded Duration (hh:mm:ss),Views,Likes,Comments,Shares,Avg. Retention (%),Total Watch Time (hrs)
A,1470,227:24:21,2344650,153919,8458,12130,53.53,170837
B,1293,297:15:05,634863,34077,1556,11280,47.65,131326
C,765,158:25:12,3529710,233871,33063,54482,22.83,183981
D,221,23:31:11,1010854,50166,8362,10667,35.33,62358
E,201,25:34:42,735861,37796,4930,5884,69.95,59868
F,130,17:35:35,309140,14113,2733,4154,33.18,34501
G,106,17:42:41,339094,7299,2791,9688,27.97,35189
H,89,10:17:01,26700,706,71,349,46.92,1335
I,59,10:56:20,293525,6424,2651,5274,74.21,66401
J,37,5:39:49,118548,6897,693,2676,33.31,7526
K,29,2:42:05,136242,5294,1126,1919,56.97,27792
L,17,8:05:43,43418,2193,393,1271,61.89,4561
M,8,0:35:20,29960,2230,115,870,33.07,3729
N,8,0:27:48,7232,252,14,81,60.05,1106
O,7,0:17:58,19817,884,60,345,40.23,3784
P,5,0:35:56,14365,938,69,179,54.78,1219
Q,5,0:22:05,8350,281,69,101,54.84,1082
R,3,0:11:14,8370,206,73,49,49.47,602
