Channel,Platform,Views,Likes,Comments,Shares,Retention (%)
A,Facebook,1783,53,3,13,59.69
A,Instagram,4361,110,14,29,31.46
A,Linkedin,9,0,0,0,54.11
A,Reels,6045,185,13,57,34.08
A,Shorts,1825,34,4,10,41.83
A,X,20,0,0,0,27.82
A,Youtube,6210,286,28,51,25.25
A,Threads,40,0,0,0,51.3
B,Facebook,23,0,0,0,26.56
B,Instagram,21,0,0,0,33.73
B,Linkedin,15,0,0,0,34.38
B,Reels,8,0,0,0,56.73
B,Shorts,20,0,0,0,56.49
B,X,17,0,0,0,55.87
B,Youtube,20,0,0,0,50.58
B,Threads,20,0,0,0,44.79
C,Facebook,18,0,0,0,31.41
C,Instagram,32,0,0,0,54.77
C,Linkedin,32,0,0,0,50.3
C,Reels,40,1,0,0,32.92
C,Shorts,33,0,0,0,54.75
C,X,1,0,0,0,51.22
C,Youtube,11,0,0,0,41.07
C,Threads,48,0,0,0,36.56
D,Facebook,8298,255,15,74,55.79
D,Instagram,3309,66,15,21,51.28
D,Linkedin,48,0,0,0,56.82
D,Reels,24300,622,101,120,40.81
D,Shorts,15804,398,64,153,32.13
D,X,9,0,0,0,34.68
D,Youtube,46255,1938,119,431,43.66
D,Threads,41,1,0,0,46.47
E,Facebook,44,2,0,0,29.92
E,Instagram,0,0,0,0,53.71
E,Linkedin,36,0,0,0,55.88
E,Reels,11,0,0,0,41.99
E,Shorts,20,0,0,0,59.29
E,X,26,0,0,0,53.8
E,Youtube,25,0,0,0,55.04
E,Threads,37,1,0,0,41.49
F,Facebook,46,1,0,0,53.67
F,Instagram,11,0,0,0,53.91
F,Linkedin,32,0,0,0,40.76
F,Reels,10,0,0,0,54.45
F,Shorts,10,0,0,0,50.88
F,X,33,0,0,0,31.12
F,Youtube,8,0,0,0,27.7
F,Threads,2,0,0,0,32.44
G,Facebook,726,29,1,5,56.63
G,Instagram,16,0,0,0,34.11
G,Linkedin,32,1,0,0,38.64
G,Reels,11627,330,51,74,38.31
G,Shorts,2190,23,5,4,58.82
G,X,21,0,0,0,51.39
G,Youtube,8,0,0,0,44.57
G,Threads,18,0,0,0,43.92
H,Facebook,39,0,0,0,34.93
H,Instagram,13,0,0,0,51.01
H,Linkedin,3,0,0,0,36.56
H,Reels,21,0,0,0,33.38
H,Shorts,48,1,0,0,52.62
H,X,20,0,0,0,45.96
H,Youtube,32,1,0,0,55.4
H,Threads,33,1,0,0,40.06
I,Facebook,831,38,2,2,36.93
I,Instagram,1319,36,4,9,45.71
I,Linkedin,28,0,0,0,33.2
I,Reels,575,16,2,5,46.02
I,Shorts,2900,143,6,15,56.2
I,X,17,0,0,0,29.9
I,Youtube,41,2,0,0,31.86
I,Threads,34,0,0,0,43.8
J,Facebook,48,0,0,0,28.78
J,Instagram,25,0,0,0,38.89
J,Linkedin,40,1,0,0,28.98
J,Reels,38,1,0,0,26.57
J,Shorts,10,0,0,0,39.76
J,X,11,0,0,0,48.61
J,Youtube,32,1,0,0,25.05
J,Threads,26,0,0,0,26.42
K,Facebook,19,0,0,0,40.97
K,Instagram,17,0,0,0,56.51
K,Linkedin,11,0,0,0,48.4
K,Reels,40,1,0,0,42.58
K,Shorts,8,0,0,0,29.22
K,X,1,0,0,0,53.7
K,Youtube,40,1,0,0,45.2
K,Threads,25,1,0,0,41.33
L,Facebook,23,0,0,0,40.05
L,Instagram,34,0,0,0,45.66
L,Linkedin,43,1,0,0,57.08
L,Reels,22,0,0,0,46.04
L,Shorts,35,0,0,0,30.8
L,X,6,0,0,0,30.41
L,Youtube,28,0,0,0,38.51
L,Threads,26,0,0,0,46.2
M,Facebook,33,1,0,0,28.68
M,Instagram,48,0,0,0,42.69
M,Linkedin,10,0,0,0,57.4
M,Reels,26,0,0,0,41.05
M,Shorts,29,0,0,0,38.12
M,X,34,1,0,0,59.44
M,Youtube,12,0,0,0,58.98
M,Threads,21,0,0,0,43.96
N,Facebook,21,0,0,0,53.94
N,Instagram,44,0,0,0,34.46
N,Linkedin,43,1,0,0,45.4
N,Reels,34,0,0,0,52.38
N,Shorts,34,1,0,0,46.72
N,X,36,1,0,0,49.88
N,Youtube,18,0,0,0,37.37
N,Threads,46,2,0,0,29.37
O,Facebook,16,0,0,0,58.94
O,Instagram,18,0,0,0,42.22
O,Linkedin,35,0,0,0,38.53
O,Reels,10,0,0,0,56.31
O,Shorts,26,0,0,0,45.07
O,X,44,1,0,0,25.11
O,Youtube,16,0,0,0,55.92
O,Threads,4,0,0,0,25.67
P,Facebook,31,1,0,0,43.45
P,Instagram,20,0,0,0,32.37
P,Linkedin,29,0,0,0,54.0
P,Reels,1850,18,2,8,47.15
P,Shorts,14,0,0,0,48.05
P,X,0,0,0,0,42.07
P,Youtube,45,0,0,0,35.71
P,Threads,7,0,0,0,27.53
Q,Facebook,18,0,0,0,42.52
Q,Instagram,41,0,0,0,49.85
Q,Linkedin,46,0,0,0,35.24
Q,Reels,26,0,0,0,44.21
Q,Shorts,29,1,0,0,47.67
Q,X,21,0,0,0,40.89
Q,Youtube,1979,63,7,12,41.21
Q,Threads,45,1,0,0,43.21
R,Facebook,12,0,0,0,30.55
R,Instagram,33,0,0,0,51.2
R,Linkedin,14,0,0,0,50.03
R,Reels,21,0,0,0,25.13
R,Shorts,4,0,0,0,53.94
R,X,42,0,0,0,52.61
R,Youtube,14,0,0,0,57.77
R,Threads,36,0,0,0,57.56
