Input Type,Uploaded Count,Uploaded Duration (hh:mm:ss),Views,Likes,Comments,Shares,Avg. Retention (%),Total Watch Time (hrs)
interview,1299,243:53:35,3279975,149031,21936,65863,65.75,528746
news bulletin,1026,171:45:39,1805760,52690,2755,24252,56.83,511251
special reports,755,133:00:44,2061905,70340,4692,56987,23.85,136976
speech,742,132:41:32,3646930,263146,12657,88677,55.21,469999
debate,290,63:41:34,339880,16441,2166,3950,34.91,39415
press conference,280,51:06:27,931000,48525,6593,19674,52.6,66358
discussion-show,19,04:36:46,26904,826,134,535,57.41,7485
sports show,17,02:54:17,72165,2795,361,1084,32.7,8353
Unknown,12,02:10:17,45396,1535,341,643,45.13,8234
podcast,8,00:27:48,26984,873,30,366,30.47,1382
drama,4,01:17:02,980,57,3,20,22.88,59
in-brief,1,00:04:25,3140,111,26,50,40.82,344
