Month,Total Uploaded,Views,Likes,Comments,Shares,Avg. Retention (%),Total Watch Time (hrs)
"Apr, 2025",533,511680,35790,2611,6455,50.07,65451
"Aug, 2025",256,991232,32453,7995,7376,30.17,62364
"Dec, 2025",194,619248,19140,1732,13688,73.33,195939
"Feb, 2026",676,382616,11862,2153,6123,62.63,58159
"Jan, 2026",492,2226792,85184,14099,17927,71.67,338936
"Jul, 2025",284,1006496,51819,1427,17492,69.22,220907
"Jun, 2025",239,781769,35896,5056,4580,52.88,64643
"Mar, 2025",639,1929141,72292,4889,53500,70.7,574037
"May, 2025",217,49910,2830,79,572,24.87,1611
"Nov, 2025",353,630105,17875,6011,13586,30.78,95955
"Oct, 2025",343,298067,11186,2888,3813,22.49,27410
"Sep, 2025",227,565457,23738,4679,10179,37.89,38455
